Epoch,Train Loss,Time
1,214.85300595566645,4217.236751079559
2,186.01435065771656,4227.537182569504
3,181.9479576654157,4245.173032045364
4,181.29786779660517,4262.582607984543
5,179.32688506364585,4274.0125370025635
6,172.88984516941557,4287.804430246353
7,172.13420853308713,4301.417487859726
8,180.15640976890518,4316.602158069611
9,175.96674774869635,4329.168572425842
10,174.47972046958287,4344.31031370163
11,166.53649780527877,4358.852773189545
12,166.63632613605816,4372.468496799469
13,164.67439481511397,4386.026512384415
14,161.11493650446445,4407.157647371292
15,155.50937845403237,4426.031660556793
16,156.19146442174195,4455.4962322711945
17,152.87003441440424,4469.678297042847
18,147.65616761550024,4488.780522108078
19,151.23539902943904,4497.581483602524
20,148.3111587506957,4507.182506561279
